FundLongName,ValorSymbol,FundReutersTicker,FundBloombergTicker,ValorNumber,ISIN,IssuerLongNameDesc,IssuerNameFull,TradingBaseCurrency,FundCurrency,ManagementFee,ReplicationMethodDesc,ManagementStyleDesc,MarketMakers,ClosingPrice,ClosingPerformance,ClosingDelta,FundUnderlyingDescription,BidVolume,BidPrice,AskVolume,AskPrice,MidSpread,PreviousClosingPrice,MarketDate,MarketTime,OpeningPrice,OpeningPrice,DailyLowPrice,OnMarketVolume,OffBookVolume,TotalTurnover,TotalTurnoverCHF,ProductLineDesc,AssetClassDesc,UnderlyingGeographicalDesc,LegalStructureCountryDesc,UnderlyingProviderDesc
21Shares Ethereum ETP,AETH,AETH.S,AETH SE,45466402,CH0454664027,21Shares AG,21Shares AG,EUR,USD,2.5,Unknown,passive,Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Optiver V.O.F,28.095,-4.16,-1.22,Ethereum,0,,500,40.6,,29.315,20220218,,28.885,28.885,28.095,911,0,25824.62,27033.21,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Ethereum ETP,AETH,AETH.S ,AETH SE ,45466402,CH0454664027,21Shares AG,21Shares AG,GBP,USD,2.5,Unknown,passive,Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Optiver V.O.F,23.275,-5.65,-1.395,Ethereum,0,,0,,,24.67,20220218,,23.275,23.275,23.275,2109,0,49086.98,61559.98,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Ethereum ETP,AETH,AETH.S,AETH SE ,45466402,CH0454664027,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Optiver V.O.F,31.375,-6.08,-2.03,Ethereum,300,30,1400,38,23.5294,33.405,20220218,,32.475,32.475,31.01,39650,0,1282434.53,1180352.74,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Polkadot (ADOT) ETP,ADOT,ADOT.S,ADOT SE,59333156,CH0593331561,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,9.624,-4.41,-0.444,Polkadot,600,9.4,1000,13.85,38.2796,10.068,20220218,,9.966,9.966,9.509,28833,0,280386,258067.27,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Polygon (POLY) ETP,POLY,POLY.S,POLY SE,112953844,CH1129538448,21Shares AG,21Shares AG,CHF,USD,2.5,Physical,passive,Flow Traders B.V.,18.092,-8.47,-1.674,N/A,0,,0,,,19.766,20220218,,18.672,18.672,18.092,208,0,3832.16,3832.16,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Polygon (POLY) ETP,POLY,POLY.S,POLY SE,112953844,CH1129538448,21Shares AG,21Shares AG,EUR,USD,2.5,Physical,passive,Flow Traders B.V.,17.846,-5.56,-1.05,N/A,500,6.8,50,31,128.0423,18.896,20220218,,17.846,17.846,17.846,12,0,214.15,224.17,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Polygon (POLY) ETP,POLY,POLY.S,POLY SE,112953844,CH1129538448,21Shares AG,21Shares AG,USD,USD,2.5,Physical,passive,Flow Traders B.V.,20.385,-5.19,-1.115,N/A,0,,400,24.52,,21.5,20220218,,20.78,20.78,20.37,8400,0,171855.33,158175.65,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Ripple XRP ETP,AXRP,AXRP.S,AXRP SE,45466404,CH0454664043,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,23.2,-4.21,-1.02,Ripple XRP,550,16.5,250,29,54.9451,24.22,20220218,,24.24,24.24,22.9,5980,0,140926.26,129708.53,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Short Bitcoin ETP,SBTC,SBTC.S ,SBTC SE ,51406505,CH0514065058,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,1.0816,4.62,0.0478,N/A,500,1.15,750,1.2,4.2553,1.0338,20220218,,1.0668,1.0668,1.0648,118821,0,128192.78,117988.63,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Solana (SOL) ETP,ASOL,ASOL.S,ASOL SE,111487377,CH1114873776,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.,56.2,-6.13,-3.67,N/A,200,55,2000,69,22.5806,59.87,20220218,,58.69,58.69,55.52,6447,0,362878.66,333993.52,Exchange Traded Product,Other,Global,Switzerland,21Shares AG
21Shares Stellar ETP,AXLM,AXLM.S,AXLM SE,110957553,CH1109575535,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.,9.963,-7.75,-0.837,N/A,0,,750,15.65,,10.8,20220218,,10.444,10.444,9.963,1040,0,10562.3,9721.54,Exchange Traded Product,Other,Global,Switzerland,21Shares AG
21Shares Terra ETP (LUNA),LUNA,LUNA.S ,LUNA.SE ,114593101,CH1145931015,21Shares AG,21Shares AG,CHF,USD,2.5,Physical,passive,Flow Traders B.V.,12.928,-10.83,-1.57,N/A,0,,29,38.86,,14.498,20220218,,12.928,12.928,12.928,30,0,387.84,387.84,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Terra ETP (LUNA),LUNA,LUNA.S ,LUNA.SE ,114593101,CH1145931015,21Shares AG,21Shares AG,EUR,USD,2.5,Physical,passive,Flow Traders B.V.,12.136,-8.06,-1.064,N/A,0,,0,,,13.2,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Terra ETP (LUNA),LUNA,LUNA.S ,LUNA.SE ,114593101,CH1145931015,21Shares AG,21Shares AG,USD,USD,2.5,Physical,passive,Flow Traders B.V.,13.988,-9.79,-1.518,N/A,3500,7,0,,0,15.506,20220218,,14.236,14.236,13.988,5187,0,73515.63,67663.79,Exchange Traded Product,Other,Global,Switzerland,N/A
21Shares Tezos ETP,AXTZ,AXTZ.S ,AXTZ SE ,49150748,CH0491507486,21Shares AG,21Shares AG,USD,USD,2.5,Unknown,passive,Flow Traders B.V.,19.702,-7.46,-1.588,Tezos ,0,,50,49.68,,21.29,20220218,,20.435,20.435,19.702,1608,0,32005.05,29457.45,Exchange Traded Product,Other,Global,Switzerland,N/A
ADAetc - ETC Group Physical Cardano ETP,RDAN,RDANCHF.S,RDANCHF SE,115256508,DE000A3GVKY4,ETC Issuance GmbH,ETC Issuance GmbH,CHF,USD,1.95,physical,passive,Flow Traders B.V.,4.6295,-4.43,-0.2145,CCCAGG Cardano Price Index,0,,0,,,4.844,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Germany,Unknown
ADAetc - ETC Group Physical Cardano ETP,RDAN,RDANGBP.S,RDANGBP SE,115256508,DE000A3GVKY4,ETC Issuance GmbH,ETC Issuance GmbH,GBP,USD,1.95,physical,passive,Flow Traders B.V.,3.702,-4.19,-0.162,CCCAGG Cardano Price Index,0,,0,,,3.864,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Germany,Unknown
ADAetc - ETC Group Physical Cardano ETP,RDAN,RDAN.S,RDAN SE ,115256508,DE000A3GVKY4,ETC Issuance GmbH,ETC Issuance GmbH,USD,USD,1.95,physical,passive,Flow Traders B.V.,5.028,-4.5,-0.237,CCCAGG Cardano Price Index,0,,0,,,5.265,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,Germany,Unknown
BTCetc - Bitcoin ETP,BTCE,BTCE.S,BTCE SE,55503260,DE000A27Z304,ETC Issuance GmbH,ETC Issuance GmbH,CHF,USD,2,Unknown,passive,Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Optiver V.O.F,35.57,-4.03,-1.495,XBT CFIX Curncy ,10,30,0,,0,37.065,20220218,,36.2,36.2,35.57,3615,0,128804.89,128804.89,Exchange Traded Product,Other,Global,Germany,N/A
BTCetc - Bitcoin ETP,BTCE,BTCE.S,BTCE SE,55503260,DE000A27Z304,ETC Issuance GmbH,ETC Issuance GmbH,GBP,USD,2,Unknown,passive,Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Optiver V.O.F,28.45,-5.43,-1.635,XBT CFIX Curncy ,0,,0,,,30.085,20220218,,28.91,28.91,28.45,3332,0,94805.98,118896.18,Exchange Traded Product,Other,Global,Germany,N/A
BTCetc - Bitcoin ETP,BTCE,BTCE.S,BTCE SE,55503260,DE000A27Z304,ETC Issuance GmbH,ETC Issuance GmbH,USD,USD,2,Unknown,passive,Flow Traders B.V.|GHCO (Goldenberg Hehmeyer LLP)|Optiver V.O.F,38.64,-4.13,-1.665,XBT CFIX Curncy ,0,,0,,,40.305,20220218,,39.09,39.09,38.64,3709,0,143495.76,132073.5,Exchange Traded Product,Other,Global,Germany,N/A
COINSHARES PHYSICAL BITCOIN (BTC),BITC,BITCCHF S,BITCCHF SE,58943992,GB00BLD4ZL17,CoinShares Digital Securities Limited,CoinShares Digital Securities Limited,CHF,USD,0.98,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,36.5,-4.61,-1.765,Bitcoin/CHF,50,34.2,500,41.75,19.8815,38.265,20220218,,37.065,37.065,36.5,592,0,21785.05,21785.05,Exchange Traded Product,Other,Global,United Kingdom,UNKNOWN
COINSHARES PHYSICAL BITCOIN (BTC),BITC,BITCEUR S,BITCEUR SE,58943992,GB00BLD4ZL17,CoinShares Digital Securities Limited,CoinShares Digital Securities Limited,EUR,USD,0.98,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,34.785,-5.78,-2.135,Bitcoin/CHF,0,,0,,,36.92,20220218,,35.195,35.195,34.785,600,0,21037.25,22021.79,Exchange Traded Product,Other,Global,United Kingdom,UNKNOWN
COINSHARES PHYSICAL BITCOIN (BTC),BITC,BITCGBP S,BITCGBP SE,58943992,GB00BLD4ZL17,CoinShares Digital Securities Limited,CoinShares Digital Securities Limited,GBP,USD,0.98,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,29.28,-4.13,-1.26,Bitcoin/CHF,0,,0,,,30.54,20220218,,,,,0,0,0,0,Exchange Traded Product,Other,Global,United Kingdom,UNKNOWN
COINSHARES PHYSICAL BITCOIN (BTC),BITC,BITC S,BITC SE,58943992,GB00BLD4ZL17,CoinShares Digital Securities Limited,CoinShares Digital Securities Limited,USD,USD,0.98,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,39.82,-7.11,-3.05,Bitcoin/CHF,25,39,0,,0,42.87,20220218,,40.385,40.385,39.315,1235,0,49076.52,45170.03,Exchange Traded Product,Other,Global,United Kingdom,UNKNOWN
COINSHARES PHYSICAL ETHEREUM (ETH),ETHE,ETHECHF S,ETHECHF SE,59635770,GB00BLD4ZM24,CoinShares Digital Securities Limited,CoinShares Digital Securities Limited,CHF,USD,1.25,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,78.53,-3.66,-2.98,Ethereum,200,58,10,105,57.6687,81.51,20220218,,78.53,78.53,78.53,20,0,1570.6,1570.6,Exchange Traded Product,Other,Global,United Kingdom,CoinShares
COINSHARES PHYSICAL ETHEREUM (ETH),ETHE,ETHEEUR S,ETHEEUR SE,59635770,GB00BLD4ZM24,CoinShares Digital Securities Limited,CoinShares Digital Securities Limited,EUR,USD,1.25,Unknown,passive,Flow Traders B.V.|Optiver V.O.F,75.94,-2.53,-1.97,Ethereum,0,,0,,,77.91,20220218,,75.94,75.94,75.94,100,0,7594,7949.4,Exchange Traded Product,Other,Global,United Kingdom,CoinShares
