Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,Bitcoin.com,F2Pool,GBMiners,SlushPool,Unknown,ViaBTC,others
2017-03-13 00:00:00 UTC,4.594074155578442e+16,5.742592694473052e+17,2.2970370777892208e+17,1.1485185388946104e+17,2.756444493347065e+17,1.8376296622313766e+17,1.1485185388946104e+17,4.134666740020597e+17,9.188148311156883e+16,4.134666740020597e+17,1.3782222466735325e+17,2.0673333700102986e+17,1.3782222466735325e+17,2.0673333700102986e+17,1.8376296622313766e+17
2017-03-14 00:00:00 UTC,1.1434089393213043e+17,6.174408272335044e+17,3.2015450300996525e+17,1.3720907271855654e+17,2.9728632422353914e+17,3.4302268179639136e+17,4.573635757285218e+16,4.116272181556696e+17,9.147271514570435e+16,4.116272181556696e+17,1.1434089393213043e+17,1.829454302914087e+17,4.573635757285218e+16,2.2868178786426086e+17,2.0581360907783478e+17
2017-03-15 00:00:00 UTC,9.203103327358451e+16,6.902327495518838e+17,2.5308534150235738e+17,9.203103327358451e+16,2.5308534150235738e+17,2.5308534150235738e+17,9.203103327358451e+16,2.3007758318396128e+17,9.203103327358451e+16,3.6812413309433805e+17,1.3804654991037677e+17,2.5308534150235738e+17,2.300775831839613e+16,1.610543082287729e+17,2.7609309982075354e+17
2017-03-16 00:00:00 UTC,1.3720114559058e+17,5.0307086716546e+17,9.146743039372e+16,1.6006800318901e+17,3.2013600637802e+17,2.9726914877959e+17,1.3720114559058e+17,2.5153543358273e+17,6.860057279529e+16,4.802040095670301e+17,2.0580171838587e+17,1.8293486078744e+17,1.6006800318901e+17,1.8293486078744e+17,3.2013600637802003e+17
2017-03-17 00:00:00 UTC,1.628587146074132e+17,4.885761438222395e+17,1.395931839492113e+17,1.628587146074132e+17,2.0938977592381693e+17,2.0938977592381693e+17,6.979659197460565e+16,4.420450825058358e+17,9.306212263280754e+16,4.885761438222395e+17,1.8612424526561507e+17,2.791863678984226e+17,1.163276532910094e+17,1.8612424526561507e+17,3.489829598730282e+17
2017-03-18 00:00:00 UTC,1.6590263073690928e+17,6.636105229476371e+17,3.3180526147381856e+17,1.6590263073690928e+17,1.8960300655646778e+17,3.555056372933771e+17,1.1850187909779235e+17,5.2140826803028634e+17,4.740075163911694e+16,4.740075163911694e+17,7.1101127458675416e+16,1.6590263073690928e+17,7.1101127458675416e+16,2.370037581955847e+17,1.4220225491735082e+17
2017-03-19 00:00:00 UTC,1.4148503981418291e+17,9.432335987612195e+17,1.4148503981418291e+17,1.650658797832134e+17,1.4148503981418291e+17,2.1222755972127437e+17,9.432335987612194e+16,4.716167993806097e+17,1.1790419984515243e+17,4.951976393496401e+17,1.1790419984515243e+17,2.5938923965933533e+17,4.716167993806097e+16,2.8297007962836582e+17,2.5938923965933536e+17
2017-03-20 00:00:00 UTC,1.657411327709349e+17,4.972233983128048e+17,2.1309574213405917e+17,1.1838652340781066e+17,3.788368749049941e+17,1.657411327709349e+17,2.6045035149718346e+17,2.6045035149718346e+17,1.420638280893728e+17,2.6045035149718346e+17,1.1838652340781066e+17,1.657411327709349e+17,9.470921872624853e+16,1.8941843745249706e+17,1.8941843745249706e+17
2017-03-21 00:00:00 UTC,1.6598542416713174e+17,6.165172897636323e+17,2.608342379769213e+17,1.4227322071468437e+17,1.4227322071468437e+17,9.484881380978958e+16,2.3712203452447396e+16,2.8454644142936874e+17,4.742440690489479e+16,4.268196621440531e+17,9.484881380978958e+16,3.556830517867109e+17,7.1136610357342184e+16,3.319708483342635e+17,3.082586448818162e+17
2017-03-22 00:00:00 UTC,1.1802134397032485e+17,4.9568964467536435e+17,1.652298815584548e+17,2.360426879406497e+17,3.068554943228446e+17,2.5964695673471466e+17,1.1802134397032485e+17,4.9568964467536435e+17,1.4162561276438981e+17,3.7766830070503955e+17,2.360426879406497e+17,2.5964695673471466e+17,1.652298815584548e+17,1.8883415035251978e+17,1.8883415035251974e+17
