Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,kraken,okcoin,others
2017-06-12 00:00:00 UTC,5261.117,47734.35834472,20692.3808347599,22921.52111887,36336.44150195,42417.9004522299,19061.2994441688,39458.84310423,28596.5960000001,69350.09580528428
2017-06-13 00:00:00 UTC,5116.828,23099.21579577,11468.19064535,17721.5047185,18732.26421274,22202.64014731,12222.8980075102,26050.40775867,13220.584,33542.21304277838
2017-06-14 00:00:00 UTC,5365.303,34324.9217069002,17249.9687633299,22220.0644278099,32396.36450372,31266.00726647,14491.0929406772,34835.8012071,19095.7809999999,50150.74863035
2017-06-15 00:00:00 UTC,5581.735,55609.92050883,27118.3447308899,28384.93099644,42139.32983528,47207.3919871399,22315.3237435764,55889.38458945,23872.3859999999,70351.44863558101
2017-06-16 00:00:00 UTC,5262.629,22337.70686703,16220.91451887,13473.72196567,16240.48343301,24464.3790741699,9861.19417114336,25960.21431009,16513.529,34984.15402522107
2017-06-17 00:00:00 UTC,5114.691,16584.47456147,10336.72941748,17021.8136697199,12291.87270432,18303.1785156597,4953.9086697151,18587.94277846,24309.2809999999,42506.321589632236
2017-06-18 00:00:00 UTC,5111.539,19891.73356398,10601.50839578,10796.8830281901,10844.34890865,14737.6587185198,5487.6578720891,19803.70336465,12740.5659999999,25903.247831704703
2017-06-19 00:00:00 UTC,5120.5,13675.21435956,7917.32375218999,14419.3200969899,13276.34638365,15234.3414493297,6321.08698376599,20087.70465706,13442.107,31985.257760487264
2017-06-20 00:00:00 UTC,5081.408,20340.15282996,7250.15161809999,22190.15351677,18124.48164188,21018.1810190898,7810.6796639643,26627.76485291,21758.3239999999,47607.63538417133
2017-06-21 00:00:00 UTC,5210.02,24497.8596246199,10497.42933499,29121.61328559,17785.5997876,19092.3630388099,11078.2390338382,22185.82841917,20361.114,46083.24753152429
2017-06-22 00:00:00 UTC,5130.849,15168.4140995,5762.05736131001,16710.05426508,12368.21364738,13566.83270564,8142.926874529,16386.19110131,9916.15799999994,26962.028451472215
2017-06-23 00:00:00 UTC,5161.984,8137.19554307,5307.91307858001,14512.60274076,9177.6171869,10552.80176007,5613.5302520379,10491.93407808,7209.023,19238.491378463154
2017-06-24 00:00:00 UTC,5197.386,16765.81104388,6594.57312705001,11173.06067142,14884.16699812,13776.6697419099,4988.553519729,14870.0535671,18541.1910000001,27122.750006999886
2017-06-25 00:00:00 UTC,5106.67,18129.85910536,8224.32331767,11542.48552568,11443.1073929,14716.1566806,6134.6454383181,18380.50592245,14950.262,26808.36002449556
2017-06-26 00:00:00 UTC,4950.814,36350.08780734,18435.6433536099,17237.88250364,25201.4513897,22346.90980051,14734.0177990157,37798.3572743399,17573.3709999999,44375.65350749316
2017-06-27 00:00:00 UTC,4661.134,33456.41766226,17661.9577962099,20876.39363317,22592.94262176,24571.56841299,18681.1639899091,33740.51380374,18148.9459999999,41918.074939441416
2017-06-28 00:00:00 UTC,5029.474,21787.85832096,11460.45168224,17569.18752085,13910.52186225,17957.09463484,12435.767494287,22304.3921286,11893.331,30021.37972190939
2017-06-29 00:00:00 UTC,5052.981,12961.78238825,8842.53471271998,14176.87178144,8934.77784833,10061.07291157,7972.6824052827,14124.71437515,9677.85899999998,23977.109466713988
2017-06-30 00:00:00 UTC,5031.888,10399.26931501,7805.08759028999,10867.2613101,9577.17421717999,13082.03665582,8669.9698212868,14457.73710233,6638.998,20234.07877765613
2017-07-01 00:00:00 UTC,5267.828,15074.37331623,5847.95915521,8771.24680943,9800.65374927999,9550.75401365996,5228.1130213919,14409.28407968,6148.86299999998,17456.73914665789
