Time,asks,bids,price
2018-03-12 00:00:00 UTC,12800596.1003709,21925349.4923718,8501.89944168735
2018-03-19 00:00:00 UTC,18964967.453165,17759862.7372821,8662.71951444224
2018-03-26 00:00:00 UTC,11514589.8226293,20610965.37893,7471.96291356186
2018-04-02 00:00:00 UTC,11993260.0405086,16543834.2484496,6950.88700347567
2018-04-09 00:00:00 UTC,13908116.0790494,17848718.685043,7440.1132102132
2018-04-16 00:00:00 UTC,15571289.0814977,19781992.1978679,8359.04803331677
2018-04-23 00:00:00 UTC,17363059.293481,17711697.4097978,9155.4823583499
2018-04-30 00:00:00 UTC,23627702.2376226,19939915.3172678,9402.03299850822
2018-05-07 00:00:00 UTC,17145098.0411261,17554535.3739697,8951.1125891947
2018-05-14 00:00:00 UTC,9912921.89602071,17775755.9354906,8356.82139870582
2018-05-21 00:00:00 UTC,7779451.10434556,17906424.0480727,7754.88018141153
2018-05-28 00:00:00 UTC,7315507.2494011,17318521.0440041,7462.08062938817
2018-06-04 00:00:00 UTC,9964739.28344504,16085167.9538046,7533.27460221551
2018-06-11 00:00:00 UTC,7585778.17459797,14543714.4150282,6566.5775920398
2018-06-18 00:00:00 UTC,8247945.86022559,13939354.8246287,6451.48871208354
2018-06-25 00:00:00 UTC,7892341.18184987,11320240.7721717,6170.41302722773
2018-07-02 00:00:00 UTC,10673846.4349572,9015064.95847308,6578.70918281173
2018-07-09 00:00:00 UTC,8082104.82582437,11586823.6192358,6364.96613613861
2018-07-16 00:00:00 UTC,11962167.1372924,11936840.8544109,7201.50346458643
2018-07-23 00:00:00 UTC,14662514.409104,13344756.8126803,8083.59071783409
2018-07-30 00:00:00 UTC,11629944.4685781,13875382.5358781,7551.27701684837
2018-08-06 00:00:00 UTC,5331235.76483538,12283944.2380005,6538.10718962808
2018-08-13 00:00:00 UTC,6988675.66898554,12972174.5152085,6348.84178571429
2018-08-20 00:00:00 UTC,9945826.77472985,13798019.6305447,6541.52281498016
2018-08-27 00:00:00 UTC,10152066.6842861,10906438.8687515,7000.13474689827
2018-09-03 00:00:00 UTC,8324884.45956669,13829197.5039833,6746.15680845772
2018-09-10 00:00:00 UTC,7872034.56240444,15692612.6927904,6397.77322453017
2018-09-17 00:00:00 UTC,8974670.07256724,14206320.5241721,6500.7803528827
2018-09-24 00:00:00 UTC,9078212.26292987,15872409.1373114,6546.81772117297
2018-10-01 00:00:00 UTC,11201264.0150214,16368746.2951063,6537.15999251871
2018-10-08 00:00:00 UTC,10626580.2160394,13837432.1807456,6362.52586241276
2018-10-15 00:00:00 UTC,12223139.3182951,14608783.9226852,6412.79727952168
2018-10-22 00:00:00 UTC,15374727.9052556,15506713.482678,6404.59243480442
2018-10-29 00:00:00 UTC,12990147.9979468,15051786.0496178,6319.13537905237
2018-11-05 00:00:00 UTC,13830306.01748,15000819.24711,6405.3251318408
2018-11-12 00:00:00 UTC,8065471.46644726,11226935.0597921,5815.40334080717
2018-11-19 00:00:00 UTC,3827097.66514323,7116400.67973859,4408.10101445663
2018-11-26 00:00:00 UTC,4716706.30525431,5261734.47114321,4016.38474838067
2018-12-03 00:00:00 UTC,4039446.44210868,9453864.42940567,3648.55714000997
2018-12-10 00:00:00 UTC,3466189.96769965,14216989.1979687,3317.66839810663
2018-12-17 00:00:00 UTC,4726701.75051912,6149245.34035734,3759.82104031857
2018-12-24 00:00:00 UTC,4115123.16550567,6018979.6164852,3822.78723169508
2018-12-31 00:00:00 UTC,4764444.2685442,7111690.98110502,3801.03795725646
2019-01-07 00:00:00 UTC,4899269.18545078,7079813.72017123,3812.16098121602
2019-01-14 00:00:00 UTC,4837631.82404362,6944753.59246634,3617.81684013944
2019-01-21 00:00:00 UTC,4695070.32243227,8572325.58992742,3555.17102086438
2019-01-28 00:00:00 UTC,4655085.33097919,11238196.5183259,3422.95041687345
2019-02-04 00:00:00 UTC,5000270.46520005,10361041.3978954,3463.73264807502
2019-02-11 00:00:00 UTC,5010308.60068917,8283818.36200993,3581.85112703905
2019-02-18 00:00:00 UTC,7127077.79104602,6158047.53725579,3910.51630272953
2019-02-25 00:00:00 UTC,4814104.83594012,7270855.7261994,3802.96027488856
2019-03-04 00:00:00 UTC,6004859.77660198,7910504.6306275,3835.54633118493
2019-03-11 00:00:00 UTC,7484015.06307056,8368474.48932185,3891.17636069652
2019-03-18 00:00:00 UTC,8042559.94178064,8302743.25553319,3982.79855223881
2019-03-25 00:00:00 UTC,7903293.19103708,10285892.5920595,4051.57685928098
2019-04-01 00:00:00 UTC,7669536.05851959,8404340.78739427,4898.9260055135
2019-04-08 00:00:00 UTC,8499841.19061919,7778288.95995424,5166.53330467739
2019-04-15 00:00:00 UTC,7386762.43513715,9968590.34153448,5243.92918316382
2019-04-22 00:00:00 UTC,7655498.08665516,10726581.1222309,5351.48750430664
2019-04-29 00:00:00 UTC,8200071.94826687,8137877.52721489,5369.9982327359
2019-05-06 00:00:00 UTC,7033415.16665894,9102304.3133368,6208.11152585766
2019-05-13 00:00:00 UTC,12708370.2716226,9576158.96154992,7775.82396652719
2019-05-20 00:00:00 UTC,21203571.443964,12232633.5226847,7938.91398953661
2019-05-27 00:00:00 UTC,16418726.2371985,13346054.765664,8596.39808652022
2019-06-03 00:00:00 UTC,11627701.9346994,14110573.4626845,7955.73375527426
2019-06-10 00:00:00 UTC,18628566.9056988,13335521.4909993,8249.82108121828
2019-06-17 00:00:00 UTC,31682369.7432472,14995419.1625267,9624.73465358032
2019-06-24 00:00:00 UTC,16307259.0436699,13999036.0365049,11690.395412444
2019-07-01 00:00:00 UTC,15574674.6531433,18673605.4592182,11136.2088343353
2019-07-08 00:00:00 UTC,17951070.9578364,20766672.5437432,11885.7853662005
2019-07-15 00:00:00 UTC,11217458.742374,19430640.8786562,10246.5579844961
2019-07-22 00:00:00 UTC,12984954.2876916,25746876.1716265,9799.87293492996
2019-07-29 00:00:00 UTC,16078912.6180528,20920881.6154712,10226.6789177554
