Time,bit-x,bitbay,bitfinex,bitstamp,btce,campbx,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,okcoin,therocktrading
2021-02-15 00:00:00 UTC,,,152.512840262895,141.010358572783,,,149.303465812379,136.175633682821,127.802197279436,143.274864159867,,,142.492606536307,,
2021-02-16 00:00:00 UTC,,,180.263502889453,174.256757845722,,,177.035424160524,168.636235854168,135.516541219943,175.799762888093,,,176.36850610315,,
2021-02-17 00:00:00 UTC,5656.85424949238,,156.743978405681,146.836371616761,,,153.155490406108,147.722974603198,143.153891427584,143.448805953114,,,147.805276642779,,
2021-02-18 00:00:00 UTC,,,126.274139547475,119.818373082302,,,120.653158152401,115.577730039503,120.35217558975,118.783727306448,,,119.195422314058,,
2021-02-19 00:00:00 UTC,,,157.033955818424,150.985406842245,,,156.387896547299,150.007840375156,144.724907025595,152.142020856019,,,153.036952233654,,
2021-02-20 00:00:00 UTC,,,193.413879765265,181.267597153249,,,185.705599182629,179.307955011869,176.598082360485,178.642588646694,,,187.015473486847,,
2021-02-21 00:00:00 UTC,,,149.570272863945,140.077951632912,,,140.91784772286,135.355611091153,134.140936834346,138.560468683353,,,140.134959720311,,
2021-02-22 00:00:00 UTC,,,337.577122463063,346.977562434562,,,346.084994134921,344.837430025013,332.78071367582,343.995040751728,,,376.888108549163,,
2021-02-23 00:00:00 UTC,,,523.824499331714,527.49463920061,,,522.781792401504,517.302842861284,515.699982461983,536.524890995288,,,521.757657501263,,
2021-02-24 00:00:00 UTC,,,264.1606415019,254.706117861984,,,256.230053055084,252.710676319614,256.042890349383,252.822711482389,,,252.284898785122,,
2021-02-25 00:00:00 UTC,,,236.985472643081,221.599445982444,,,220.28194406914,219.384451570703,211.344656353207,227.442420454049,,,232.454343146591,,
2021-02-26 00:00:00 UTC,6010.76119347624,,301.369076327211,291.66711537044,,,285.148415952804,283.185103358456,288.843958751438,289.512971035415,,,296.681677070958,,
2021-02-27 00:00:00 UTC,,,193.424397037005,183.308768359931,,,189.151178071249,180.634578813309,177.065431999085,181.941279080732,,,182.377161579378,,
2021-02-28 00:00:00 UTC,,,217.507062229766,218.026203278895,,,212.611830832145,202.465581899279,201.675302929071,219.591270763034,,,213.316287004026,,
2021-03-01 00:00:00 UTC,,,180.900518707605,183.649368695427,,,180.295483602204,178.950701630836,171.576754690736,179.94801013417,,,183.509331877944,,
2021-03-02 00:00:00 UTC,,,165.672698817934,163.876314930538,,,173.522759359436,161.793271571848,158.16986644584,162.468461008832,,,163.706815002337,,
2021-03-03 00:00:00 UTC,,,176.817304884687,177.718620717313,,,181.266047162171,175.596794475729,177.931434228263,174.751169890981,,,177.609014531637,,
2021-03-04 00:00:00 UTC,,,226.066476839751,227.575733892121,,,232.770873156973,223.878763459866,206.188096979847,228.255858162466,,,227.759316878783,,
2021-03-05 00:00:00 UTC,,,178.90125679913,171.704647458337,,,180.455704479718,168.664733059409,163.355208975049,173.993431654337,,,181.002333533535,,
2021-03-06 00:00:00 UTC,,,123.764994032632,119.463895894971,,,130.968585775143,116.467997405457,114.558910207256,116.858314552415,,,117.628419949593,,
2021-03-07 00:00:00 UTC,,,141.665996312351,138.24767385403,,,143.990013577793,132.189041638758,129.484968041973,138.932580949995,,,139.792826125762,,
2021-03-08 00:00:00 UTC,,,157.419362261949,157.933017799038,,,162.971325982048,157.995369393605,141.526110465054,158.426384215328,,,156.009142391669,,
2021-03-09 00:00:00 UTC,,,155.00604794697,155.261490741491,,,163.340905625776,154.95006157982,141.838712963655,155.664849638639,,,156.521753560038,,
2021-03-10 00:00:00 UTC,,,201.528415207378,202.011370643608,,,207.567389711983,200.633710643399,193.463136870534,205.620137304266,,,203.957185560018,,
2021-03-11 00:00:00 UTC,,,195.255475887011,196.29972038684,,,195.317423840876,187.123244589236,173.849042880396,188.11304035683,,,190.79246694034,,
2021-03-12 00:00:00 UTC,,,184.363885348242,177.367081590042,,,176.639189460187,170.230491805495,163.437907546429,178.24449175837,,,178.871773718379,,
2021-03-13 00:00:00 UTC,,,166.388415283881,159.578610293608,,,172.901822832926,159.340043113819,161.735053365669,163.150625600947,,,161.319230598335,,
2021-03-14 00:00:00 UTC,,,160.993453388025,153.690380792212,,,161.594890158584,146.567354872964,140.304315086402,147.532072001763,,,150.487733305732,,
2021-03-15 00:00:00 UTC,,,253.676321078184,251.129633958461,,,256.479417440192,239.86534319407,230.472025851518,243.780497339202,,,245.661391728131,,
2021-03-16 00:00:00 UTC,,,212.319819503487,204.861402131578,,,203.660285029084,203.666915333159,182.35347850249,203.816106136162,,,231.08618890123,,
2021-03-17 00:00:00 UTC,,,203.643583034005,193.385383412406,,,191.573644985464,184.485864675304,175.960732469508,188.391180825547,,,224.584093952793,,
2021-03-18 00:00:00 UTC,,,168.985933390193,166.579896340903,,,174.364263977517,159.515569114272,155.2330826303,164.604817612709,,,167.983359160864,,
2021-03-19 00:00:00 UTC,2.64575131106459,,164.179373591203,153.552104978307,,,160.077430498897,152.709946944519,149.603846992482,155.573990149523,,,157.993754052837,,
2021-03-20 00:00:00 UTC,,,128.437980390247,128.543225647798,,,127.401379599686,113.382035041316,119.094299131226,120.859266496575,,,123.558286394941,,
2021-03-21 00:00:00 UTC,,,154.310441921149,139.328392477654,,,156.684702697409,141.527826126126,136.571459281019,148.733823396841,,,145.123426492304,,
2021-03-22 00:00:00 UTC,,,179.262639429017,173.088728461724,,,181.849293070773,174.718796113224,165.909608074385,176.08615795415,,,185.748858055736,,
2021-03-23 00:00:00 UTC,534.522483824849,,169.216306724908,162.549920308996,,,171.342515459188,161.940685235582,140.879735118855,160.234133313556,,,163.596583199979,,
2021-03-24 00:00:00 UTC,,,194.917820459037,192.368176246111,,,197.068401479447,190.784943858031,178.987686838965,191.087742203615,,,198.393963172517,,
2021-03-25 00:00:00 UTC,,,222.391985080901,222.435660047572,,,224.724264503042,217.818813938555,207.27021183233,214.783450639607,,,222.258657829537,,
2021-03-26 00:00:00 UTC,,,147.793020652351,150.702647186815,,,145.007480468611,148.303532438484,136.915926028211,145.469902792198,,,148.568107028247,,
2021-03-27 00:00:00 UTC,,,124.99535087583,118.146373675721,,,109.463463695875,114.749177004412,121.103974901052,121.664256418193,,,124.16570640744,,
2021-03-28 00:00:00 UTC,,,115.258156832266,111.719591331686,,,96.3837840424133,110.685227841421,107.104382655951,110.86901432493,,,112.35327363414,,
2021-03-29 00:00:00 UTC,,,147.086855053997,138.338167514957,,,132.375234454556,139.853864991159,137.074855741363,138.748941197242,,,139.551161279277,,
2021-03-30 00:00:00 UTC,,,108.620075714052,105.774643771239,,,90.5625351854014,104.7252448513,99.724701726369,104.75026940819,,,105.353729441919,,
2021-03-31 00:00:00 UTC,,,167.797996886489,166.55993738062,,,155.164744783707,157.929388839197,153.909244336262,160.003809145729,,,165.157943311064,,
2021-04-01 00:00:00 UTC,,,114.114946748303,102.175485326156,,,89.7696110836801,95.5210189566726,91.4957227604112,96.6724732111193,,,98.184772449304,,
2021-04-02 00:00:00 UTC,,,102.636881662367,89.0367355949071,,,79.4713297164644,88.6697729570541,80.1314057180364,91.7883348868746,,,89.2408302608527,,
2021-04-03 00:00:00 UTC,,,118.914289358098,120.530365581202,,,103.707654973499,114.128472519658,103.934234245721,115.443036035322,,,119.472697018216,,
2021-04-04 00:00:00 UTC,,,105.40885199605,99.3915571682978,,,80.0475952520315,95.0842306131024,88.529307117892,97.3334879755978,,,94.9044301580438,,
2021-04-05 00:00:00 UTC,,,107.004919351628,95.3844439183829,,,74.368040651754,91.5699719576625,93.0129211028434,89.4762768578905,,,95.2751269126489,,
2021-04-06 00:00:00 UTC,707.106781186548,,99.975208666225,99.205719728258,,,85.7113407369509,96.5624388404559,91.2142736408236,97.46359976396,,,96.9310125405914,,
2021-04-07 00:00:00 UTC,0.707106781186548,,159.811830990284,161.064891650091,,,147.415431588367,158.207116962553,154.840015515641,161.418023319534,,,157.690408425382,,
2021-04-08 00:00:00 UTC,,,108.745749407397,105.189852529876,,,90.0870804503866,105.037825554346,96.7125801220685,105.176414278001,,,102.180145292612,,
2021-04-09 00:00:00 UTC,,,83.5486577609352,82.6443919787777,,,65.3363964109539,79.7242814140465,79.1769082562689,78.3799276170631,,,84.7241068669395,,
2021-04-10 00:00:00 UTC,,,135.557027804029,134.105024253487,,,123.977325718818,128.833479671668,137.197507705992,132.841140466701,,,136.423938586394,,
2021-04-11 00:00:00 UTC,,,115.804902349087,110.281344171075,,,95.9370316950887,106.622527546125,105.808438615129,110.495613181922,,,109.904682711633,,
2021-04-12 00:00:00 UTC,,,116.118467547158,113.953007104581,,,98.2805935573895,112.73209750503,112.431135534759,115.999362410331,,,113.540336759037,,
2021-04-13 00:00:00 UTC,14290.3354128886,,145.000216867946,152.60025409062,,,133.102659083979,153.101054721488,146.755538116881,153.17163150905,,,160.272118641843,,
2021-04-14 00:00:00 UTC,,,190.347611797789,177.589938216952,,,176.948611444059,182.612243487239,180.460656478912,185.468381471823,,,187.600491317799,,
2021-04-15 00:00:00 UTC,,,119.358744727238,121.337778574685,,,104.077182067466,118.513919483039,117.891832899153,120.644580599697,,,121.234893238439,,
2021-04-16 00:00:00 UTC,,,154.247117401447,149.708027312021,,,131.792567546836,148.818031162889,141.637777611514,152.099526711706,,,145.463102539084,,
2021-04-17 00:00:00 UTC,,,149.322809859321,139.698898529022,,,129.562078162456,137.872046074121,140.219097540176,141.091421690852,,,140.616844034693,,
2021-04-18 00:00:00 UTC,,,312.965502399699,300.824755554661,,,297.185141692399,298.095256903125,319.99189988738,320.522649297721,,,299.597476196728,,
2021-04-19 00:00:00 UTC,,,185.025174502188,172.837391145914,,,159.846528084267,172.937326220686,179.019437632756,178.078994568125,,,179.402684334953,,
2021-04-20 00:00:00 UTC,,,218.921154404162,206.769485537209,,,197.52575906711,208.31834932439,207.046915112897,207.327905310219,,,207.233725240955,,
2021-04-21 00:00:00 UTC,,,186.042502565256,184.602190318981,,,163.819870206909,180.169268793365,169.940328902289,183.639592758682,,,183.571600840617,,
2021-04-22 00:00:00 UTC,7071.06781186548,,236.672531126758,230.422689876327,,,217.639559282829,241.967729444505,216.499725940713,236.397378329254,,,228.248526023093,,
2021-04-23 00:00:00 UTC,,,273.672182291058,262.263983007404,,,254.430737538343,262.74423365837,260.567539029801,264.994608388603,,,267.918357210693,,
2021-04-24 00:00:00 UTC,,,159.728375954572,151.602058990585,,,135.070103052293,151.673621660367,152.203598319862,151.404471866492,,,152.162124596499,,
